Geography,CommunityNo,Foreclosures_2010,Foreclosures_2011,Foreclosures_2012,Foreclosures_2013,Foreclosures_2014,Foreclosures_2015,Foreclosures_2016,Foreclosures_2017,Foreclosures_2018,Foreclosures_2019,Foreclosures_2020,Foreclosures_2021,Foreclosures_2022,Foreclosures_2023,Sales_2010,Sales_2011,Sales_2012,Sales_2013,Sales_2014,Sales_2015,Sales_2016,Sales_2017,Sales_2018,Sales_2019,Sales_2020,Sales_2021,Sales_2022,Sales_2023,Mortgage_2010,Mortgage_2011,Mortgage_2012,Mortgage_2013,Mortgage_2014,Mortgage_2015,Mortgage_2016,Mortgage_2017,Mortgage_2018,Mortgage_2019,Mortgage_2020,Mortgage_2021,Mortgage_2022,Mortgage_2023,OWNER_OCCUPIED_COST_BURDENED,RENTER_OCCUPIED_COST_BURDENED,ALL_COST_BURDENED,OWNER_OCCUPIED,RENTER_OCCUPIED,TOTAL_HOUSEHOLDS,SINGLE_FAMILY,CONDOMINIUM,BUILDING_2TO4,BUILDING_5PLUS,percent_population_under_18,percent_population_18_to_44,percent_population_45_to_64,percent_population_over_65,Total_Population,percent_income_less_$25k,percent_income_25k_to_50k,percent_income_50k_to_100k,percent_income_more_100k,Total Households,population_below_poverty_level
Albany Park,14,375,257,222,123,61,61,44,47,31,36,17,9,18,16,328,309,381,437,413,446,517,478,450,408,412,593,448,357,903,769,1025,936,716,834,1023,827,697,809,1131,1463,675,431,0.292,0.405,0.358,0.415,0.585,17078,0.201,0.142,0.307,0.350,0.203,0.445,0.241,0.112,47663,0.125,0.188,0.293,0.393,17078,0.134
Archer Heights,57,128,97,81,45,34,30,20,22,22,14,7,5,15,8,100,99,91,133,125,106,112,98,101,99,78,118,88,78,167,155,219,203,176,185,187,174,151,170,205,306,172,118,0.256,0.642,0.381,0.671,0.329,4450,0.450,0.034,0.433,0.083,0.247,0.379,0.226,0.148,13867,0.212,0.251,0.243,0.295,4450,0.099
Armour Square,34,21,13,25,14,6,2,5,5,3,NA,NA,3,4,2,57,50,70,53,85,83,103,102,104,77,51,114,76,80,217,166,198,187,127,142,155,165,167,141,142,194,90,84,0.42,0.457,0.443,0.365,0.635,5645,0.175,0.276,0.359,0.191,0.177,0.323,0.265,0.235,13193,0.353,0.178,0.255,0.214,5645,0.209
Ashburn,70,627,512,608,383,261,210,205,234,201,182,58,30,144,87,415,409,470,554,540,514,583,626,569,473,376,567,454,364,874,781,1069,1179,867,879,1051,999,876,910,1081,1699,1025,704,0.307,0.667,0.36,0.848,0.152,13465,0.878,0.017,0.044,0.061,0.24,0.365,0.263,0.132,42745,0.144,0.162,0.338,0.356,13465,0.134
Auburn Gresham,71,515,431,493,336,300,285,255,282,248,234,76,72,181,149,412,349,378,423,463,471,568,633,684,673,558,656,624,499,576,501,575,632,564,583,708,735,759,821,827,1197,977,813,0.313,0.588,0.452,0.465,0.535,17924,0.420,0.007,0.276,0.298,0.239,0.337,0.24,0.185,46468,0.33,0.238,0.243,0.189,17924,0.261
Austin,25,870,741,873,491,379,389,359,337,327,266,91,87,246,159,756,543,613,738,685,672,804,917,976,952,664,912,875,674,1089,877,1129,1202,967,996,1170,1302,1283,1473,1408,2140,1414,1070,0.413,0.653,0.552,0.405,0.595,35602,0.261,0.027,0.421,0.291,0.245,0.365,0.24,0.15,100120,0.352,0.224,0.231,0.193,35602,0.261
Avalon Park,45,131,141,143,87,77,82,64,94,78,67,21,17,63,59,91,80,82,107,138,104,175,207,212,177,153,187,173,128,171,158,153,210,198,177,204,254,236,238,251,395,298,247,0.308,0.587,0.404,0.644,0.356,4109,0.721,0.002,0.110,0.168,0.204,0.306,0.237,0.254,9647,0.24,0.215,0.283,0.262,4109,0.195
Avondale,21,361,265,230,107,71,51,36,44,40,21,9,7,29,24,302,325,380,400,381,442,498,480,483,402,384,496,403,313,641,616,830,792,693,846,989,881,780,881,1231,1445,645,406,0.299,0.382,0.346,0.425,0.575,14443,0.159,0.112,0.534,0.195,0.177,0.513,0.227,0.082,36374,0.115,0.133,0.3,0.452,14443,0.123
Belmont Cragin,19,901,665,557,315,218,151,149,140,98,81,27,20,87,42,594,620,666,719,594,609,608,616,554,484,366,571,505,341,783,827,1047,1088,872,967,1119,1083,921,992,1024,1693,899,525,0.371,0.571,0.465,0.518,0.482,23068,0.377,0.028,0.410,0.185,0.254,0.389,0.239,0.118,73991,0.18,0.237,0.316,0.266,23068,0.15
Beverly,72,132,137,138,81,75,56,68,66,57,70,17,11,39,27,167,188,205,262,236,249,276,329,278,319,291,389,275,232,910,866,1005,888,599,777,838,718,549,727,1102,1294,578,385,0.204,0.412,0.231,0.864,0.136,7412,0.767,0.029,0.060,0.145,0.216,0.304,0.285,0.196,19781,0.061,0.089,0.206,0.644,7412,0.051
