"ID","Case_Number","Date","Block","IUCR","Primary_Type","Description","Location_Description","Arrest","Domestic","Beat","District","Ward","Community_Area","FBI_Code","X_Coordinate","Y_Coordinate","Year","Updated_On","Latitude","Longitude","Location","zip_code","Case Number","Primary Type","Location Description","Community Area","FBI Code","X Coordinate","Y Coordinate","Updated On"
13203321,,"09/06/2023 05:00:00 PM","002XX N Wells st","1320",,TO VEHICLE,,False,False,122.0,1.0,42.0,,,,,2023.0,,41.886018055,-87.633937881,"(41.886018055, -87.633937881)","60606.0",JG415333,CRIMINAL DAMAGE,PARKING LOT / GARAGE (NON RESIDENTIAL),32.0,"14",1174694.0,1901831.0,"11/04/2023 03:40:18 PM"
13204489,,"09/06/2023 11:00:00 AM","0000X E 8TH ST","0810",,OVER $500,,False,False,123.0,1.0,4.0,,,,,2023.0,,41.871834768,-87.62615082,"(41.871834768, -87.62615082)","60605.0",JG416325,THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),32.0,"06",1176857.0,1896680.0,"11/04/2023 03:40:18 PM"
11695116,,"05/21/2019 08:20:00 AM","018XX S CALIFORNIA AVE","0620",,UNLAWFUL ENTRY,,False,False,1023.0,10.0,25.0,,,,,2019.0,,41.856547057,-87.695604526,"(41.856547057, -87.695604526)","60608.0",JC272771,BURGLARY,RESIDENCE,29.0,"05",1157982.0,1890961.0,"01/19/2024 03:40:50 PM"
12729745,,"06/14/2022 02:47:00 PM","035XX N CENTRAL AVE","0340",,ATTEMPT STRONG ARM - NO WEAPON,,True,False,1633.0,16.0,30.0,,,,,2022.0,,41.945232412,-87.766734668,"(41.945232412, -87.766734668)","60634.0",JF279458,ROBBERY,BANK,15.0,"03",1138391.0,1923142.0,"01/19/2024 03:40:50 PM"
12835559,,"09/21/2022 10:00:00 PM","004XX E 69TH ST","0910",,AUTOMOBILE,,True,False,322.0,3.0,6.0,,,,,2022.0,,41.769346711,-87.615008288,"(41.769346711, -87.615008288)","60637.0",JF406130,MOTOR VEHICLE THEFT,OTHER (SPECIFY),69.0,"07",1180204.0,1859359.0,"01/19/2024 03:40:50 PM"
13003649,,"02/22/2023 01:50:00 PM","070XX S CLYDE AVE","0610",,FORCIBLE ENTRY,,True,False,331.0,3.0,5.0,,,,,2023.0,,41.767419224,-87.573890196,"(41.767419224, -87.573890196)","60649.0",JG177593,BURGLARY,RESIDENCE - PORCH / HALLWAY,43.0,"05",1191427.0,1858753.0,"01/19/2024 03:40:50 PM"
13061203,,"05/03/2023 08:10:00 AM","073XX S EMERALD AVE","0486",,DOMESTIC BATTERY SIMPLE,,True,True,732.0,7.0,6.0,,,,,2023.0,,41.760942883,-87.643082808,"(41.760942883, -87.643082808)","60621.0",JG246126,BATTERY,STREET,68.0,"08B",1172570.0,1856234.0,"01/19/2024 03:40:50 PM"
13256787,,"12/25/2022 12:01:00 AM","055XX S ALBANY AVE","0486",,DOMESTIC BATTERY SIMPLE,,False,True,824.0,8.0,14.0,,,,,2022.0,,41.792605624,-87.70109031,"(41.792605624, -87.70109031)","60629.0",JG479716,BATTERY,RESIDENCE - GARAGE,63.0,"08B",1156659.0,1867650.0,"01/19/2024 03:40:50 PM"
27382,,"03/13/2023 06:40:00 PM","004XX E 88TH ST","0110",,FIRST DEGREE MURDER,,True,False,632.0,6.0,8.0,,,,,2023.0,,41.734696692,-87.613181581,"(41.734696692, -87.613181581)","60619.0",JG184406,HOMICIDE,ALLEY,44.0,"01A",1180808.0,1846737.0,"01/19/2024 03:40:50 PM"
27547,,"06/05/2023 09:15:00 PM","020XX N KIMBALL AVE","0110",,FIRST DEGREE MURDER,,True,True,1413.0,14.0,26.0,,,,,2023.0,,41.918494462,-87.711911917,"(41.918494462, -87.711911917)","60647.0",JH119907,HOMICIDE,APARTMENT,22.0,"01A",1153376.0,1913502.0,"01/19/2024 03:40:50 PM"
6255892,,"05/17/2008 06:00:00 PM","101XX S LAFAYETTE AVE","031A",,ARMED - HANDGUN,,False,False,511.0,5.0,9.0,,,,,2008.0,,41.710039855,-87.62479561,"(41.710039855, -87.62479561)","60628.0",HP342049,ROBBERY,RESIDENCE,49.0,"03",1177712.0,1837726.0,"01/19/2024 03:40:50 PM"
6272641,,"05/27/2008 01:00:00 AM","105XX S PERRY AVE","0320",,STRONG ARM - NO WEAPON,,False,True,512.0,5.0,9.0,,,,,2008.0,,41.703006756,-87.625784664,"(41.703006756, -87.625784664)","60628.0",HP358387,ROBBERY,STREET,49.0,"03",1177463.0,1835161.0,"01/19/2024 03:40:50 PM"
6438609,,"08/05/2008 10:37:00 PM","126XX S UNION AVE","031A",,ARMED - HANDGUN,,False,False,523.0,5.0,9.0,,,,,2008.0,,41.664425476,-87.639053139,"(41.664425476, -87.639053139)","60628.0",HP496499,ROBBERY,SCHOOL - PUBLIC GROUNDS,53.0,"03",1173953.0,1821073.0,"01/19/2024 03:40:50 PM"
6680276,,"12/27/2008 08:00:00 PM","058XX N MANTON AVE","0610",,FORCIBLE ENTRY,,False,False,1622.0,16.0,39.0,,,,,2008.0,,41.9873259,-87.770650405,"(41.9873259, -87.770650405)","60646.0",HP754070,BURGLARY,RESIDENCE - GARAGE,11.0,"05",1137225.0,1938474.0,"01/19/2024 03:40:50 PM"
11662417,,"04/21/2019 12:30:00 PM","009XX E 80TH ST","031A",,ARMED - HANDGUN,,False,False,631.0,6.0,8.0,,,,,2019.0,,41.749500329,-87.6011574,"(41.749500329, -87.6011574)","60619.0",JC232642,ROBBERY,RESIDENCE,44.0,"03",1184044.0,1852159.0,"09/14/2023 03:41:59 PM"
12218064,,"10/30/2020 04:30:00 PM","011XX E 82ND ST","0266",,PREDATORY,,True,True,411.0,4.0,8.0,,,,,2020.0,,41.745882542,-87.597167639,"(41.745882542, -87.597167639)","60619.0",JD426642,CRIMINAL SEXUAL ASSAULT,RESIDENCE,45.0,"02",1185144.0,1850850.0,"09/14/2023 03:41:59 PM"
12342615,,"04/17/2021 03:20:00 PM","081XX S PRAIRIE AVE","0325",,VEHICULAR HIJACKING,,True,False,631.0,6.0,6.0,,,,,2021.0,,41.746626309,-87.618031954,"(41.746626309, -87.618031954)","60619.0",JE202211,ROBBERY,RESIDENCE,44.0,"03",1179448.0,1851073.0,"09/14/2023 03:41:59 PM"
12592454,,"01/14/2022 03:55:00 PM","067XX S MORGAN ST","2826",,HARASSMENT BY ELECTRONIC MEANS,,False,True,724.0,7.0,16.0,,,,,2022.0,,41.771782439,-87.649436929,"(41.771782439, -87.649436929)","60621.0",JF113025,OTHER OFFENSE,RESIDENCE,68.0,"26",1170805.0,1860170.0,"09/14/2023 03:41:59 PM"
12601676,,"01/13/2022 04:00:00 PM","031XX W AUGUSTA BLVD","1752",,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,,False,True,1211.0,12.0,36.0,,,,,2022.0,,41.899206068,-87.705505587,"(41.899206068, -87.705505587)","60622.0",JF124024,OFFENSE INVOLVING CHILDREN,RESIDENCE,23.0,"17",1155171.0,1906486.0,"09/14/2023 03:41:59 PM"
12785595,,"08/05/2022 09:00:00 PM","072XX S UNIVERSITY AVE","1544",,SEXUAL EXPLOITATION OF A CHILD,,True,False,324.0,3.0,5.0,,,,,2022.0,,41.763337967,-87.597001131,"(41.763337967, -87.597001131)","60619.0",JF346553,SEX OFFENSE,APARTMENT,69.0,"17",1185135.0,1857211.0,"09/14/2023 03:41:59 PM"
12808281,,"08/14/2022 02:00:00 PM","055XX W ARDMORE AVE","1562",,AGGRAVATED CRIMINAL SEXUAL ABUSE,,False,False,1621.0,16.0,39.0,,,,,2022.0,,41.985875279,-87.766403857,"(41.985875279, -87.766403857)","60646.0",JF373517,SEX OFFENSE,RESIDENCE,11.0,"17",1138383.0,1937953.0,"09/14/2023 03:41:59 PM"
12888104,,"11/10/2022 03:47:00 AM","072XX S MAY ST","1477",,RECKLESS FIREARM DISCHARGE,,False,False,733.0,7.0,17.0,,,,,2022.0,,41.76261474,-87.652840463,"(41.76261474, -87.652840463)","60621.0",JF469015,WEAPONS VIOLATION,STREET,68.0,"15",1169903.0,1856822.0,"09/14/2023 03:41:59 PM"
12990873,,"08/17/2019 01:14:00 PM","008XX N KARLOV AVE","1751",,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,,True,True,1111.0,11.0,37.0,,,,,2019.0,,41.89621515,-87.728572048,"(41.89621515, -87.728572048)","60651.0",JG161829,OFFENSE INVOLVING CHILDREN,RESIDENCE,23.0,"17",1148899.0,1905351.0,"09/14/2023 03:41:59 PM"
13045102,,"03/30/2023 09:16:00 AM","080XX S DREXEL AVE","1544",,SEXUAL EXPLOITATION OF A CHILD,,False,True,631.0,6.0,8.0,,,,,2023.0,,41.748653803,-87.602680492,"(41.748653803, -87.602680492)","60619.0",JG226663,SEX OFFENSE,APARTMENT,44.0,"17",1183631.0,1851847.0,"09/14/2023 03:41:59 PM"
13074891,,"05/10/2023 12:43:00 PM","028XX N MANGO AVE","1754",,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,,False,True,2514.0,25.0,30.0,,,,,2023.0,,41.932015426,-87.769916668,"(41.932015426, -87.769916668)","60634.0",JG262771,OFFENSE INVOLVING CHILDREN,RESIDENCE,19.0,"02",1137557.0,1918320.0,"09/14/2023 03:41:59 PM"
13099339,,"04/01/2023 11:13:00 AM","020XX N LAPORTE AVE","1751",,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,,False,True,2522.0,25.0,26.0,,,,,2023.0,,41.917562778,-87.749828117,"(41.917562778, -87.749828117)","60639.0",JG291745,OFFENSE INVOLVING CHILDREN,RESIDENCE,19.0,"17",1143059.0,1913090.0,"09/14/2023 03:41:59 PM"
13121127,,"06/22/2023 06:52:00 PM","015XX W NORTH AVE","1153",,FINANCIAL IDENTITY THEFT OVER $ 300,,True,False,1433.0,14.0,1.0,,,,,2023.0,,41.91065261,-87.66614577,"(41.91065261, -87.66614577)","60642.0",JG313964,DECEPTIVE PRACTICE,AUTO / BOAT / RV DEALERSHIP,24.0,"11",1165854.0,1910738.0,"09/14/2023 03:41:59 PM"
12955336,,"11/16/2022 10:23:00 AM","087XX S KINGSTON AVE","1562",,AGGRAVATED CRIMINAL SEXUAL ABUSE,,False,True,423.0,4.0,7.0,,,,,2022.0,,41.736409029,-87.562410309,"(41.736409029, -87.562410309)","60617.0",JG119661,SEX OFFENSE,RESIDENCE,46.0,"17",1194660.0,1847481.0,"11/15/2023 03:41:31 PM"
13210072,,"08/11/2023 11:00:00 AM","0000X S ALBANY AVE","1790",,CHILD ABDUCTION,,False,True,1124.0,11.0,28.0,,,,,2023.0,,41.880594385,-87.702959421,"(41.880594385, -87.702959421)","60612.0",JG422242,OFFENSE INVOLVING CHILDREN,RESIDENCE,27.0,"26",1155914.0,1899709.0,"09/16/2023 03:41:56 PM"
13124701,,"06/30/2023 04:00:00 AM","007XX E 111TH ST","0583",,CYBERSTALKING,,True,False,531.0,5.0,9.0,,,,,2023.0,,41.692833841,-87.60431945,"(41.692833841, -87.60431945)","60628.0",JG321999,STALKING,POLICE FACILITY / VEHICLE PARKING LOT,50.0,"08A",1183356.0,1831503.0,"09/14/2023 03:41:59 PM"
13129199,,"07/04/2023 05:30:00 PM","047XX S CALUMET AVE","0910",,AUTOMOBILE,,True,False,224.0,2.0,3.0,,,,,2023.0,,41.80890316,-87.618139193,"(41.80890316, -87.618139193)","60653.0",JG327622,MOTOR VEHICLE THEFT,STREET,38.0,"07",1179230.0,1873766.0,"09/14/2023 03:41:59 PM"
13176001,,"02/01/2023 02:00:00 PM","058XX S MICHIGAN AVE","1562",,AGGRAVATED CRIMINAL SEXUAL ABUSE,,True,True,232.0,2.0,20.0,,,,,2023.0,,41.788264552,-87.62229949,"(41.788264552, -87.62229949)","60637.0",JG382803,SEX OFFENSE,APARTMENT,40.0,"17",1178158.0,1866236.0,"09/14/2023 03:41:59 PM"
13179181,,"08/17/2023 03:15:00 PM","020XX N MILWAUKEE AVE","0860",,RETAIL THEFT,,True,False,1431.0,14.0,1.0,,,,,2023.0,,41.917656022,-87.688750258,"(41.917656022, -87.688750258)","60647.0",JG386523,THEFT,DEPARTMENT STORE,22.0,"06",1159682.0,1913243.0,"09/14/2023 03:41:59 PM"
13179344,,"08/17/2023 07:25:00 PM","030XX N ELBRIDGE AVE","0860",,RETAIL THEFT,,True,False,1412.0,14.0,35.0,,,,,2023.0,,41.935883156,-87.716219645,"(41.935883156, -87.716219645)","60618.0",JG386917,THEFT,STREET,21.0,"06",1152158.0,1919830.0,"09/14/2023 03:41:59 PM"
13181797,,"08/20/2023 04:30:00 AM","020XX N LEAMINGTON AVE","1310",,TO PROPERTY,,True,True,2522.0,25.0,36.0,,,,,2023.0,,41.917790125,-87.754624625,"(41.917790125, -87.754624625)","60639.0",JG389859,CRIMINAL DAMAGE,RESIDENCE,19.0,"14",1141753.0,1913164.0,"09/14/2023 03:41:59 PM"
13181885,,"08/20/2023 06:00:00 AM","020XX N LECLAIRE AVE","0820",,$500 AND UNDER,,True,True,2522.0,25.0,26.0,,,,,2023.0,,41.917506742,-87.753392641,"(41.917506742, -87.753392641)","60639.0",JG389920,THEFT,STREET,19.0,"06",1142089.0,1913063.0,"09/14/2023 03:41:59 PM"
13183042,,"08/21/2023 07:28:00 AM","016XX N WASHTENAW AVE","1350",,TO STATE SUP LAND,,True,False,1421.0,14.0,26.0,,,,,2023.0,,41.910962378,-87.694559852,"(41.910962378, -87.694559852)","60647.0",JG391309,CRIMINAL TRESPASS,CHA PARKING LOT / GROUNDS,24.0,"26",1158119.0,1910792.0,"09/14/2023 03:41:59 PM"
13183567,,"08/21/2023 02:37:00 PM","022XX N LEAMINGTON AVE","1220",,THEFT OF LOST / MISLAID PROPERTY,,True,False,2522.0,25.0,26.0,,,,,2023.0,,41.921207741,-87.754832585,"(41.921207741, -87.754832585)","60639.0",JG392073,DECEPTIVE PRACTICE,STREET,19.0,"11",1141688.0,1914409.0,"09/14/2023 03:41:59 PM"
13184491,,"08/22/2023 11:44:00 AM","026XX N ELSTON AVE","0860",,RETAIL THEFT,,True,False,1432.0,14.0,32.0,,,,,2023.0,,41.929743818,-87.684273777,"(41.929743818, -87.684273777)","60647.0",JG393031,THEFT,DEPARTMENT STORE,22.0,"06",1160867.0,1917657.0,"09/14/2023 03:41:59 PM"
13187048,,"08/24/2023 04:07:00 PM","016XX W DIVISION ST","0860",,RETAIL THEFT,,True,False,1424.0,14.0,1.0,,,,,2023.0,,41.903304304,-87.670064675,"(41.903304304, -87.670064675)","60622.0",JG395977,THEFT,DEPARTMENT STORE,24.0,"06",1164808.0,1908052.0,"09/14/2023 03:41:59 PM"
