"ZIP","COOK_COUNTY_MUNICIPALITY","MORTGAGE_2016","MORTGAGE_2017","MORTGAGE_2018","MORTGAGE_2019","MORTGAGE_2020","MORTGAGE_2021","MORTGAGE_2022","MORTGAGE_2023","FORCLOSURE_2016","FORCLOSURE_2017","FORCLOSURE_2018","FORCLOSURE_2019","FORCLOSURE_2020","FORCLOSURE_2021","FORCLOSURE_2022","FORCLOSURE_2023","SINGLE_FAMILY","CONDOMINIUM","BUILDING_2TO4","BUILDING_5PLUS","ALL_RESIDENTIAL","SALES_2016","SALES_2017","SALES_2018","SALES_2019","SALES_2020","SALES_2021","SALES_2022","SALES_2023","OWNER_OCCUPIED","RENTER_OCCUPIED","TOTAL_HOUSEHOLDS","OWNER_OCCUPIED_COST_BURDENED","RENTER_OCCUPIED_COST_BURDENED","ALL_COST_BURDENED","SALE_2019"
"60803",Alsip,473,432,384,440,483,803,482,368,67,69,61,76,24,8,39,32,0.55,0.18,0.05,0.23,1.00,174,193,150,,139,245,178,150,0.63,0.37,7683,0.25,0.50,0.33,182
"60005",Arlington Heights,3402,2714,2135,2742,4246,4978,1985,1206,93,82,66,61,28,17,76,35,0.64,0.25,0.01,0.10,1.00,924,976,906,,880,1260,841,638,0.73,0.27,31683,0.24,0.40,0.28,864
"60010",Barrington Hills,212,162,130,173,261,304,146,72,12,11,11,12,7,2,9,11,1.00,,0.00,,1.00,41,33,33,,48,53,37,31,0.94,0.07,1348,0.35,0.82,0.38,29
"60010",Barrington,589,448,321,425,712,827,349,205,15,14,17,14,4,2,5,5,0.75,0.11,0.04,0.10,1.00,105,125,83,,116,144,124,77,0.78,0.22,4265,0.26,0.39,0.29,89
"60103",Bartlett,1829,1533,1305,1550,2480,2830,1114,754,77,95,63,39,23,12,45,31,0.67,0.20,0.01,0.12,1.00,233,229,209,,205,286,201,129,0.86,0.14,14341,0.20,0.50,0.24,212
"60104",Bellwood,421,463,361,434,413,673,485,375,122,124,100,92,32,18,76,71,0.75,0.02,0.11,0.12,1.00,266,262,213,,182,210,191,171,0.77,0.23,6111,0.36,0.64,0.42,233
"60163",Berkeley,159,160,128,148,185,260,153,113,16,21,21,14,16,2,13,11,0.87,,0.04,0.09,1.00,79,80,80,,66,77,65,52,0.91,0.09,1896,0.30,0.37,0.31,70
"60402",Berwyn,1319,1283,1171,1299,1475,2106,1214,848,193,158,131,116,46,13,112,72,0.49,0.03,0.30,0.18,1.00,574,562,547,,413,600,452,347,0.60,0.40,19904,0.32,0.50,0.39,511
"60406",Blue Island,299,304,311,274,294,575,386,280,72,64,75,55,24,10,57,35,0.45,0.04,0.19,0.32,1.00,179,168,162,,134,196,156,118,0.49,0.51,8612,0.25,0.49,0.37,158
"60455",Bridgeview,292,286,264,329,334,545,280,230,34,31,33,30,13,3,25,12,0.60,0.13,0.05,0.22,1.00,130,135,118,,125,182,119,132,0.67,0.33,6118,0.28,0.60,0.38,149
"60155",Broadview,234,226,163,200,205,314,235,191,33,44,48,24,14,9,25,20,0.59,0.01,0.08,0.32,1.00,119,125,90,,69,103,88,82,0.67,0.33,2987,0.32,0.46,0.36,78
"60513",Brookfield,871,712,647,717,966,1182,566,420,52,40,40,30,15,11,33,19,0.77,0.03,0.15,0.06,1.00,338,324,350,,288,396,287,236,0.80,0.21,7733,0.28,0.46,0.32,323
"60089",Buffalo Grove,2314,1582,1320,1674,2772,2895,1254,721,70,64,45,66,21,9,40,34,0.52,0.48,,0.00,1.00,177,171,142,,145,209,138,105,0.83,0.17,15764,0.24,0.28,0.25,152
"60459",Burbank,708,652,554,671,805,1187,681,491,76,92,62,70,28,10,63,41,0.84,0.04,0.07,0.06,1.00,364,357,375,,298,466,369,264,0.80,0.20,9463,0.28,0.45,0.31,341
"60633",Burnham,53,53,47,50,49,101,96,70,25,27,26,20,6,6,17,11,0.61,0.09,0.09,0.21,1.00,49,39,30,,35,51,43,29,0.65,0.35,1522,0.25,0.59,0.36,35
"60527",Burr Ridge,565,449,382,420,623,677,342,202,10,19,19,17,5,4,13,7,0.60,0.41,,,1.00,60,52,37,,60,74,58,31,0.95,0.05,4460,0.26,0.84,0.28,33
"60409",Calumet City,491,520,546,561,515,1022,937,791,248,245,193,201,60,38,151,105,0.59,0.06,0.13,0.22,1.00,410,415,477,,284,480,437,394,0.59,0.41,14412,0.29,0.56,0.40,403
"60827",Calumet Park,112,115,120,111,126,226,237,152,52,43,42,36,14,10,34,25,0.55,0.02,0.05,0.39,1.00,85,73,87,,70,104,107,67,0.47,0.53,2614,0.37,0.44,0.41,79
"60202",Chicago,67591,58692,50836,60204,79119,100558,53057,34717,5887,5887,5449,4788,1808,1273,4110,2849,0.26,0.20,0.23,0.31,1.00,13805,14783,14594,,12311,16190,13676,10748,0.46,0.54,1129485,0.29,0.48,0.39,13890
"60411",Chicago Heights,363,407,394,382,426,750,677,584,134,124,104,100,44,22,70,55,0.74,0.00,0.18,0.07,1.00,263,291,308,,251,406,388,312,0.63,0.37,9186,0.29,0.51,0.37,278
"60416",Chicago Ridge,258,227,245,250,294,467,287,187,27,46,21,24,12,3,22,15,0.34,0.23,0.06,0.37,1.00,91,67,88,,77,137,84,53,0.58,0.42,5251,0.22,0.44,0.31,79
"60804",Cicero,970,977,856,880,904,1457,942,687,144,145,117,130,50,19,136,80,0.37,0.01,0.45,0.17,1.00,386,426,369,,228,326,276,215,0.55,0.45,24600,0.27,0.43,0.34,342
"60478",Country Club Hills,417,370,401,357,362,706,614,464,154,152,134,141,51,37,98,60,0.85,0.13,0.00,0.02,1.00,264,281,338,,185,295,315,250,0.79,0.21,5532,0.30,0.64,0.37,239
"60525",Countryside,171,197,162,162,227,296,114,97,16,11,8,15,2,5,8,1,0.51,0.29,0.04,0.17,1.00,53,60,51,,47,81,59,42,0.69,0.31,2803,0.25,0.37,0.29,52
"60445",Crestwood,405,353,336,323,416,623,356,296,50,48,27,34,14,5,26,16,0.42,0.44,0.01,0.13,1.00,94,87,107,,89,129,89,63,0.75,0.25,4875,0.25,0.41,0.28,93
"60016",Des Plaines,2113,1728,1483,1726,2413,3208,1465,899,110,114,93,79,34,20,81,50,0.65,0.20,0.03,0.12,1.00,682,691,659,,593,866,639,486,0.79,0.21,22887,0.26,0.44,0.30,599
"60406",Dixmoor,16,13,15,10,13,22,28,31,13,9,9,10,3,2,5,2,0.74,,0.02,0.23,1.00,18,15,21,,9,20,25,21,0.66,0.34,934,0.48,0.70,0.55,11
"60419",Dolton,367,409,391,455,446,826,810,666,198,217,172,155,61,35,143,115,0.83,0.02,0.08,0.07,1.00,321,402,399,,317,469,479,366,0.73,0.27,8110,0.36,0.73,0.46,371
"60120",Elgin,3037,2761,2402,2767,3712,4760,2572,1793,228,235,212,196,72,24,154,145,0.71,0.17,0.01,0.11,1.00,286,293,261,,195,306,230,176,0.71,0.29,38530,0.24,0.46,0.30,248
"60007",Elk Grove Village,1336,1091,922,1043,1463,1957,763,520,60,67,48,54,17,6,29,19,0.64,0.28,0.00,0.08,1.00,368,351,350,,312,428,312,249,0.75,0.25,12691,0.21,0.46,0.27,321
"60607",Elmwood Park,711,670,581,650,893,1267,603,387,60,48,49,49,22,14,44,22,0.53,0.16,0.17,0.13,1.00,240,265,215,,260,319,233,185,0.62,0.38,9404,0.32,0.53,0.40,249
"60201",Evanston,2712,2181,1660,2070,2927,3693,1578,984,92,87,76,77,29,18,65,33,0.32,0.25,0.10,0.33,1.00,530,545,460,,530,591,475,370,0.56,0.44,30900,0.23,0.49,0.34,479
"60805",Evergreen Park,713,659,545,688,811,1198,624,445,97,84,79,91,30,11,50,41,0.82,0.01,0.05,0.12,1.00,340,353,340,,251,413,298,221,0.83,0.17,7449,0.28,0.49,0.31,338
"60422",Flossmoor,397,334,282,329,446,692,400,218,50,66,62,49,18,3,38,34,0.88,0.10,0.00,0.02,1.00,194,212,166,,179,240,180,101,0.96,0.05,3461,0.36,0.14,0.35,209
