ZipCode,MedEnrollment,MedGraduation,Forclosure2023,Income_<25k,Income_>25K_<50K,Income_>50K_<100K,Income_>100K,Population,Foreclosure_rate,IncomeScore,DrugCrimes,Other,PropertyCrimes,ViolentCrimes,NeighborhoodScore,Rank
60602,0.4744336569579289,0.9952885747938749,0.10596026490066227,0.107,0.092,0.187,0.613,1358.0,1.7673048600883652,0.9525237381309342,0.0,0.0,0.1446690325567042,0.0,0.10928786707536892,26.0
60607,1.0,1.0000000000000002,0.16556291390728478,0.179,0.112,0.181,0.528,22759.0,0.14499758337361043,0.7941029485257369,0.021084840055632822,0.12462199586184947,0.3294553309674433,0.08570252752151994,0.43778217857804513,2.0
60608,0.23624595469255666,0.884570082449941,0.04635761589403973,0.184,0.1735,0.3045,0.33799999999999997,54836.0,0.027354292800350136,0.6609195402298849,0.23204450625869263,0.4711125258634411,0.6242555161240549,0.4604067354847559,0.02631515838285456,32.0
60609,0.44271844660194176,0.6772673733804475,0.04856512141280354,0.3893333333333333,0.214,0.19166666666666665,0.20099999999999998,50169.0,0.030563362501411895,0.2563718140929534,0.5698470097357441,0.6842272799618018,0.7350100293164634,0.7303405466579785,-0.2244249337175393,36.0
60610,0.9475728155339807,0.935217903415783,0.2913907284768212,0.123,0.09,0.199,0.588,38935.0,0.1335559265442404,0.9190404797601197,0.18809457579972183,0.22521088651917878,0.3694800185156612,0.22391028498919713,0.3585989357541695,7.0
60613,0.7229773462783173,0.967020023557126,0.152317880794702,0.104,0.109,0.284,0.502,49029.0,0.06322788553713109,0.8930534732633679,0.045841446453407514,0.1841477001432437,0.28396852337602224,0.1119379951301485,0.4028025853013705,4.0
60614,0.9158576051779936,0.8280329799764428,0.11258278145695366,0.114,0.079,0.193,0.614,65420.0,0.03821461326811373,0.9510244877561214,0.014687065368567453,0.1637752665923922,0.6023453170806974,0.12154051922219554,0.38271461681102975,6.0
60615,0.6582524271844661,0.8280329799764428,0.06622516556291391,0.255,0.188,0.2345,0.3225,40392.0,0.044563279857397504,0.539480259870065,0.09802503477051461,0.3620881744389623,0.39537108470914983,0.31211632772042935,0.18418137144117147,20.0
60616,0.22783171521035595,0.6042402826855124,0.03532008830022076,0.27666666666666667,0.14433333333333334,0.24133333333333332,0.33499999999999996,45736.0,0.029152819077604804,0.5297351324337829,0.24806675938803893,0.30367658761738026,0.5393303502545903,0.29184814294043004,0.028901547216375875,31.0
60617,0.4757281553398058,0.46996466431095407,0.2218543046357616,0.263,0.2215,0.2745,0.241,76284.0,0.05440197157988569,0.470014992503748,0.26865090403337966,0.8231736431640936,0.8051535256904798,0.7637093178778421,-0.222019360451327,35.0
60618,0.5831715210355986,0.8351001177856301,0.10596026490066227,0.108,0.119,0.25366666666666665,0.5196666666666667,81196.0,0.0295581063106557,0.8935532233883057,0.09913769123783032,0.46331370364475566,0.625273877488042,0.31534003223704515,0.2034468023557306,19.0
60619,0.21035598705501618,0.5441696113074204,0.3394039735099338,0.28600000000000003,0.2555,0.26375,0.19425,63234.0,0.09369959199165007,0.39417791104447764,0.2653129346314325,0.8632818717173325,0.8768708532633852,0.8117219383380774,-0.3149140068906958,42.0
60620,0.42524271844660194,0.6042402826855124,0.9337748344370861,0.33,0.238,0.243,0.189,65551.0,0.2273039312901405,0.3353323338330836,0.34525730180806674,0.9121438803119529,1.0,0.8628553791282279,-0.347772795112684,43.0
60621,0.5042071197411004,0.5429917550058891,0.2980132450331126,0.465,0.226,0.228,0.081,33738.0,0.1570928922876282,0.08495752123938027,0.3772461752433936,0.5554671335349356,0.5644499305662706,0.7941630371411913,-0.27281797790275497,40.0
60622,0.4653721682847896,0.7691401648998821,0.2317880794701987,0.099,0.073,0.238,0.589,46247.0,0.09297900404350552,0.9620189905047474,0.14970792767732963,0.38914531274868697,0.5841073908347477,0.3096814019685174,0.17479373611139634,22.0
