"ZipCode","City","Population","Growth","Age","blank","Income per household"
"60629",Chicago IL,105209,-8%,28.8,,"$40,279.00 "
"60618",Chicago IL,81196,-13%,32.5,,"$41,355.00 "
"60617",Chicago IL,76284,-10%,35.4,,"$35,534.00 "
"60647",Chicago IL,75516,-15%,30.7,,"$35,283.00 "
"60625",Chicago IL,74239,-5%,32.5,,"$40,083.00 "
"60628",Chicago IL,71187,-1%,37.1,,"$38,210.00 "
"60634",Chicago IL,70822,-4%,38.4,,"$50,042.00 "
"60657",Chicago IL,68859,"4%",30.4,,"$55,647.00 "
"60639",Chicago IL,66602,-35%,29.6,,"$40,165.00 "
"60632",Chicago IL,65957,-38%,28.3,,"$37,406.00 "
"60620",Chicago IL,65551,-10%,38.4,,"$36,334.00 "
"60614",Chicago IL,65420,-1%,29.8,,"$68,324.00 "
"60641",Chicago IL,63239,-13%,34.3,,"$42,182.00 "
"60619",Chicago IL,63234,"0%",40.9,,"$33,631.00 "
"60623",Chicago IL,61659,-49%,27.7,,"$28,203.00 "
"60640",Chicago IL,60709,-8%,36.4,,"$32,466.00 "
"60608",Chicago IL,54836,-50%,30.8,,"$28,026.00 "
"60638",Chicago IL,54326,-1%,37.5,,"$45,173.00 "
"60643",Chicago IL,50226,"0%",41.4,,"$51,305.00 "
"60630",Chicago IL,50175,-7%,38.8,,"$47,905.00 "
"60609",Chicago IL,50169,-29%,29.1,,"$25,705.00 "
"60651",Chicago IL,49851,-28%,31.0,,"$32,622.00 "
"60613",Chicago IL,49029,"1%",31.5,,"$48,381.00 "
"60626",Chicago IL,48557,-3%,33.1,,"$31,318.00 "
"60649",Chicago IL,47392,"1%",38.2,,"$27,699.00 "
"60637",Chicago IL,46374,-6%,30.5,,"$23,228.00 "
"60622",Chicago IL,46247,-13%,31.0,,"$38,487.00 "
"60616",Chicago IL,45736,-5%,36.5,,"$30,625.00 "
"60645",Chicago IL,45659,"0%",34.9,,"$41,438.00 "
"60660",Chicago IL,41326,-3%,35.8,,"$34,293.00 "
"60644",Chicago IL,41244,-17%,33.4,,"$26,930.00 "
"60652",Chicago IL,40969,"0%",34.0,,"$53,120.00 "
"60615",Chicago IL,40392,"0%",33.7,,"$31,571.00 "
"60610",Chicago IL,38935,"3%",34.4,,"$51,294.00 "
"60659",Chicago IL,37947,"0%",34.5,,"$45,064.00 "
"60636",Chicago IL,37114,-10%,31.8,,"$27,727.00 "
"60611",Chicago IL,34501,"16%",39.5,,"$69,889.00 "
"60621",Chicago IL,33738,-6%,31.1,,"$19,718.00 "
"60624",Chicago IL,31990,-19%,30.8,,"$22,426.00 "
"60612",Chicago IL,30358,-10%,31.2,,"$25,143.00 "
"60653",Chicago IL,29106,-2%,35.9,,"$14,205.00 "
"60655",Chicago IL,28712,"0%",37.0,,"$59,849.00 "
"60631",Chicago IL,28308,-1%,43.4,,"$55,316.00 "
"60656",Chicago IL,27793,"0%",40.3,,"$47,512.00 "
"60646",Chicago IL,26050,-4%,44.0,,"$58,232.00 "
"60605",Chicago IL,24307,-1%,31.8,,"$56,151.00 "
"60607",Chicago IL,22759,-5%,30.5,,"$40,972.00 "
"60654",Chicago IL,18436,"19%",32.9,,$0.00 
"60642",Chicago IL,18242,-1%,31.3,,$0.00 
"60601",Chicago IL,12994,"14%",32.6,,"$77,374.00 "
"60633",Chicago IL,12483,-3%,37.7,,"$40,792.00 "
"60661",Chicago IL,9848,"20%",30.0,,"$54,698.00 "
"60606",Chicago IL,3227,"28%",33.5,,"$100,377.00 "
"60602",Chicago IL,1358,"11%",29.8,,"$23,750.00 "
"60604",Chicago IL,787,"27%",32.1,,"$31,250.00 "
"60603",Chicago IL,693,"28%",24.6,,"$61,815.00 "
"60699",Chicago IL,,"0%",0.0,,$0.00 
"60701",Chicago IL,,"0%",0.0,,$0.00 
