ZipCode,MedEnrollment,MedGraduation,Forclosure2023,Income_<25k,Income_>25K_<50K,Income_>50K_<100K,Income_>100K,Population,Foreclosure_rate,IncomeScore,DrugCrimes,Other,PropertyCrimes,ViolentCrimes,NeighborhoodScore,Rank
60602,47.7,95.5,24.0,0.107,0.092,0.187,0.613,1358.0,176.73048600883652,4.196,48,389,6715,949,-34.88334836267427,47.0
60607,88.3,95.7,33.0,0.179,0.112,0.181,0.528,22759.0,14.499758337361042,3.879,427,1172,12703,3448,-2.4331699722194418,38.0
60608,29.3,90.8,15.0,0.184,0.1735,0.3045,0.33799999999999997,54836.0,2.7354292800350133,3.6125,4219,3349,22256,14374,-0.5152998390640781,8.0
60609,45.25,82.0,15.333333333333334,0.3893333333333333,0.214,0.19166666666666665,0.20099999999999998,50169.0,3.0563362501411895,2.803,10291,4688,25845,22245,-0.8295795112454949,18.0
60610,84.25,92.94999999999999,52.0,0.123,0.09,0.199,0.588,38935.0,13.35559265442404,4.129,3429,1804,14000,7478,-2.2858084098217906,34.0
60613,66.9,94.3,31.0,0.104,0.109,0.284,0.502,49029.0,6.322788553713109,4.077,872,1546,11229,4213,-0.8491095483338256,20.0
60614,81.8,88.4,25.0,0.114,0.079,0.193,0.614,65420.0,3.821461326811373,4.193,312,1418,21546,4493,-0.3739347258976221,3.0
60615,61.9,88.4,18.0,0.255,0.188,0.2345,0.3225,40392.0,4.45632798573975,3.3695000000000004,1810,2664,14839,10050,-0.6981715697352991,13.0
60616,28.65,78.9,13.333333333333334,0.27666666666666667,0.14433333333333334,0.24133333333333332,0.33499999999999996,45736.0,2.9152819077604804,3.3499999999999996,4507,2297,19504,9459,-0.5483242705201993,9.0
60617,47.8,73.2,41.5,0.263,0.2215,0.2745,0.241,76284.0,5.440197157988569,3.2305,4877,5561,28118,23218,-1.299178397733064,26.0
60618,56.099999999999994,88.7,24.0,0.108,0.119,0.25366666666666665,0.5196666666666667,81196.0,2.9558106310655696,4.078,1830,3300,22289,10144,-0.38180370259525215,5.0
60619,27.3,76.35,59.25,0.28600000000000003,0.2555,0.26375,0.19425,63234.0,9.369959199165006,3.07875,4817,5813,30442,24618,-2.1701659283253667,33.0
60620,43.9,78.9,149.0,0.33,0.238,0.243,0.189,65551.0,22.73039312901405,2.9610000000000003,6254,6120,34432,26109,-4.848390634657466,43.0
60621,50.0,76.3,53.0,0.465,0.226,0.228,0.081,33738.0,15.70928922876282,2.46,6829,3879,20318,24106,-3.3832572451977936,40.0
60622,47.0,85.9,43.0,0.099,0.073,0.238,0.589,46247.0,9.297900404350553,4.215,2739,2834,20955,9979,-1.6661905439500133,31.0
60623,57.5,79.5,39.0,0.3415,0.2635,0.2375,0.15749999999999997,61659.0,6.325110689437065,2.8694999999999995,9756,5630,22112,23143,-1.456310063800618,29.0
