ZipCode,MedEnrollment,MedGraduation,Forclosure2023,Income_<25k,Income_>25K_<50K,Income_>50K_<100K,Income_>100K,Population,Foreclosure_rate,IncomeScore,DrugCrimes,Other,PropertyCrimes,ViolentCrimes,NeighborhoodScore,Rank
60601,54.20,82.00,24.0,0.11,0.09,0.19,0.61,12994.00,18.47,5.00,224.0,665.0,6870.0,1551.0,-3.30,51
60602,47.70,95.50,24.0,0.11,0.09,0.19,0.61,1358.00,176.73,5.00,48.0,389.0,6715.0,949.0,-34.90,60
60603,54.20,82.00,24.0,0.11,0.09,0.19,0.61,693.00,346.32,5.00,42.0,292.0,2931.0,519.0,-68.84,62
60604,54.20,82.00,24.0,0.11,0.09,0.19,0.61,787.00,304.96,5.00,61.0,261.0,2410.0,685.0,-60.56,61
60605,88.30,98.30,,,,,,,6.76,4.30,409.0,894.0,8082.0,2583.0,-0.87,21
60606,54.20,82.00,24.0,0.11,0.09,0.19,0.61,3227.00,74.37,5.00,144.0,643.0,3449.0,649.0,-14.45,59
60607,88.30,95.70,33.0,0.18,0.11,0.18,0.53,22759.00,14.50,4.59,427.0,1172.0,12703.0,3448.0,-2.43,48
60608,29.30,90.80,15.0,0.18,0.17,0.30,0.34,54836.00,2.74,4.25,4219.0,3349.0,22256.0,14374.0,-0.48,8
60609,45.25,82.00,15.3,0.39,0.21,0.19,0.20,50169.00,3.06,3.20,10291.0,4688.0,25845.0,22245.0,-0.77,15
60610,84.25,92.95,52.0,0.12,0.09,0.20,0.59,38935.00,13.36,4.92,3429.0,1804.0,14000.0,7478.0,-2.27,45
60611,54.20,82.00,52.0,0.12,0.09,0.20,0.59,34501.00,15.07,4.92,180.0,1359.0,13721.0,2741.0,-2.67,49
60612,41.55,69.85,,,,,,,6.76,4.30,9924.0,4323.0,20412.0,15180.0,-1.38,38
60613,66.90,94.30,31.0,0.10,0.11,0.28,0.50,49029.00,6.32,4.86,872.0,1546.0,11229.0,4213.0,-0.85,19
60614,81.80,88.40,25.0,0.11,0.08,0.19,0.61,65420.00,3.82,5.00,312.0,1418.0,21546.0,4493.0,-0.36,5
60615,61.90,88.40,18.0,0.26,0.19,0.23,0.32,40392.00,4.46,3.93,1810.0,2664.0,14839.0,10050.0,-0.68,13
60616,28.65,78.90,13.3,0.28,0.14,0.24,0.33,45736.00,2.92,3.93,4507.0,2297.0,19504.0,9459.0,-0.52,9
60617,47.80,73.20,41.5,0.26,0.22,0.27,0.24,76284.00,5.44,3.75,4877.0,5561.0,28118.0,23218.0,-1.23,35
60618,56.10,88.70,24.0,0.11,0.12,0.25,0.52,81196.00,2.96,4.85,1830.0,3300.0,22289.0,10144.0,-0.35,4
60619,27.30,76.35,59.3,0.29,0.26,0.26,0.19,63234.00,9.37,3.54,4817.0,5813.0,30442.0,24618.0,-2.10,43
60620,43.90,78.90,149.0,0.33,0.24,0.24,0.19,65551.00,22.73,3.39,6254.0,6120.0,34432.0,26109.0,-4.77,55
60621,50.00,76.30,53.0,0.47,0.23,0.23,0.08,33738.00,15.71,2.77,6829.0,3879.0,20318.0,24106.0,-3.33,52
60622,47.00,85.90,43.0,0.10,0.07,0.24,0.59,46247.00,9.30,5.04,2739.0,2834.0,20955.0,9979.0,-1.64,41
60623,57.50,79.50,39.0,0.34,0.26,0.24,0.16,61659.00,6.33,3.26,9756.0,5630.0,22112.0,23143.0,-1.40,39
60624,55.70,74.85,34.0,0.43,0.23,0.20,0.15,31990.00,10.63,2.97,17710.0,4302.0,17757.0,21759.0,-2.31,47
60625,72.60,89.95,12.5,0.11,0.17,0.29,0.42,74239.00,1.68,4.62,1129.0,2866.0,13842.0,7487.0,0.00,1
60626,61.70,80.65,30.0,0.22,0.23,0.32,0.24,48557.00,6.18,3.90,2730.0,2659.0,13211.0,8425.0,-1.04,29
